"";"0-77-92-9 ";"0-107-35-7 ";"0-57-48-7 ";"0-50-99-7 ";"0-57-50-1 ";"0-58-08-2 ";"0-110-44-1 ";"0-65-85-0 ";"0-64-17-5 ";"1-00-00-0 "
"Almdudler1";2,718;0;34,986;35,094;9,429;0;0;0;0,645;79,509
"Almdudler2";2,731;0;34,995;35,191;9,426;0;0;0;0,65;79,612
"Almdudler3";2,721;0;34,919;35,052;9,398;0;0;0;0,658;79,369
"MB_p219531";-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
"MB_p219532";-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
"MB_p219533";-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
"MFET_2941";-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
"MFET_2942";-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
"MFET_2943";-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
"MFET_3061";-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
"MFET_3062";-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
"MFET_3063";-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
"Monster_A1";5,969;3,931;7,931;27,002;74,561;0,315;0,232;0,164;0;109,494
"Monster_A2";5,974;3,922;7,927;27,106;74,567;0,323;0,305;0,153;0;109,6
"Monster_A3";5,991;3,946;7,922;27,116;74,564;0,318;0,263;0,158;0;109,602
"Nestea_P1";2,517;0;9,706;9,795;49,09;0;0;0;0,444;68,591
"Nestea_P2";2,532;0;9,712;9,863;49,069;0;0;0;0,419;68,644
"Nestea_P3";2,525;0;9,733;9,759;49,064;0;0;0;0,457;68,556
"Redbull1";7,113;3,782;16,094;34,606;53,12;0,341;0;0;0,572;103,82
"Redbull2";7,046;3,781;16,005;34,896;53,08;0,317;0;0;0,534;103,981
"Redbull3";6,995;3,774;15,975;34,901;53,076;0,33;0;0;0,547;103,952
"Relentless_O1";7,41;3,708;35,507;35,38;35,379;0,216;0;0;0;106,266
"Relentless_O2";7,505;3,708;35,873;35,299;35,323;0,242;0;0;0;106,495
"Relentless_O3";7,408;3,707;35,767;35,513;35,254;0,214;0;0;0;106,534
"Rhino_C1";8,677;3,759;30,576;54,202;23,098;0,303;0;0;0;107,876
"Rhino_C2";8,721;3,783;30,623;53,88;23,09;0,317;0;0;0;107,593
"Rhino_C3";8,704;3,782;30,533;53,994;23,204;0,302;0;0;0;107,731
"Schweppes_IT1";4,228;0;40,347;40,541;10,51;0;0;0;0;91,398
"Schweppes_IT2";4,282;0;40,605;40,607;10,493;0;0;0;0;91,705
"Schweppes_IT3";4,255;0;40,43;40,563;10,505;0;0;0;0;91,498
"Sprite_11";2,302;0;42,771;42,514;8,47;0;0;0;0,463;93,755
"Sprite_12";2,342;0;42,656;42,62;8,427;0;0;0;0,445;93,703
"Sprite_13";2,292;0;42,747;42,505;8,5;0;0;0;0,452;93,752
"Sprite_21";2,258;0;43,395;43,27;6,724;0;0;0;0,436;93,389
"Sprite_22";2,288;0;43,381;43,281;6,829;0;0;0;0,445;93,491
"Sprite_23";2,281;0;43,344;43,275;6,724;0;0;0;0,448;93,343
"TM1";0;0;0;0;0;0;0;0;0;0
"TM2";0;0;0;0;0;0;0;0;0;0
"TM3";0;0;0;0;0;0;0;0;0;0
"Volvic_RF1";1,059;0;9,851;9,771;4,251;0;0;0,141;0,28;23,873
"Volvic_RF2";1,025;0;9,767;9,667;4,208;0;0;0,138;0,278;23,642
"Volvic_RF3";1,05;0;9,669;9,616;4,17;0;0;0,149;0,272;23,455
"Volvic_ZL1";0,815;0;7,326;7,151;4,487;0;0;0,138;0,226;18,964
"Volvic_ZL2";0,806;0;7,388;7,262;4,431;0;0;0,132;0,22;19,081
"Volvic_ZL3";0,815;0;7,371;7,361;4,407;0;0;0,133;0,216;19,139
